90.0,47.0,0.0,1
80.0,18.0,0.0,0
75.0,44.0,3500.0,2
86.0,46.0,0.0,3
56.0,49.0,0.0,1
78.0,20.0,0.0,0
56.0,34.0,0.0,4
65.0,47.0,0.0,2
75.0,39.0,0.0,1
90.0,40.0,0.0,3
95.0,36.0,0.0,2
98.0,16.0,0.0,1
90.0,46.0,0.0,0
98.0,24.0,0.0,4
89.0,50.0,2000.0,3
80.0,29.0,0.0,1
75.0,46.0,0.0,2
86.0,32.0,0.0,0
56.0,18.0,0.0,1
78.0,44.0,0.0,4
56.0,15.0,0.0,3
65.0,30.0,0.0,2
75.0,20.0,0.0,1
90.0,50.0,0.0,0
95.0,22.0,0.0,4
89.0,34.0,0.0,2
77.0,33.0,0.0,1
95.0,47.0,0.0,3
81.0,37.0,0.0,0
100.0,32.0,0.0,2
76.0,18.0,0.0,1
88.0,40.0,0.0,4
92.0,36.0,0.0,2
84.0,24.0,4000.0,0
97.0,26.0,0.0,3
89.0,47.0,0.0,1
78.0,33.0,0.0,2
75.0,32.0,0.0,4
45.0,17.0,0.0,1
67.0,17.0,0.0,0
76.0,50.0,0.0,3
89.0,31.0,5000.0,2
85.0,42.0,0.0,1
89.0,26.0,0.0,4
77.0,39.0,0.0,2
95.0,35.0,0.0,1
81.0,19.0,0.0,0
100.0,43.0,0.0,3
76.0,28.0,0.0,2
88.0,25.0,0.0,4
92.0,28.0,0.0,3
84.0,47.0,0.0,2
97.0,38.0,3500.0,1
91.0,20.0,0.0,4
80.0,45.0,0.0,0
100.0,29.0,0.0,2
86.0,43.0,0.0,3
82.0,45.0,0.0,1
93.0,37.0,5000.0,8
77.0,25.0,0.0,2
90.0,36.0,0.0,1
84.0,46.0,0.0,3
98.0,21.0,0.0,4
79.0,33.0,0.0,2
87.0,15.0,0.0,1
92.0,37.0,0.0,0
81.0,24.0,0.0,3
96.0,49.0,0.0,1
85.0,38.0,0.0,2
100.0,21.0,0.0,3
78.0,23.0,0.0,1
89.0,38.0,0.0,0
91.0,19.0,0.0,4
83.0,31.0,0.0,2
97.0,35.0,0.0,1
86.0,26.0,0.0,3
60.0,23.0,0.0,0
77.0,33.0,0.0,2
90.0,40.0,3000.0,1
85.0,33.0,0.0,3
93.0,20.0,0.0,2
82.0,33.0,0.0,4
96.0,48.0,0.0,6
78.0,42.0,0.0,7
89.0,22.0,0.0,6
91.0,46.0,0.0,2
83.0,42.0,0.0,9
97.0,33.0,4000.0,8
86.0,26.0,0.0,9
80.0,24.0,0.0,7
94.0,23.0,0.0,6
88.0,25.0,4000.0,8
92.0,49.0,0.0,1
79.0,30.0,0.0,4
99.0,40.0,0.0,3
84.0,50.0,0.0,2
87.0,46.0,0.0,0
95.0,17.0,0.0,0
81.0,26.0,0.0,1
100.0,34.0,2000.0,0
77.0,20.0,0.0,2
2.0,30.0,0.0,50
100.0,50.0,0.0,1
